date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:57	2/2	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2007%20Jun%202021%2003:25:58%20GMT	http://justyle.com.vn/trang-chu/lang/vi?redirect=aHR0cDovL2p1c3R5bGUuY29tLnZuLw==	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/trang-chu/lang/vi53f3	(from http://justyle.com.vn/)
10:25:58	2460/2460	---M--	200	added ('OK')	image/png	etag:%2299c-5b9dbaed61e7c%22	http://justyle.com.vn/application/views/orange/assets/images/vi.png	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/application/views/orange/assets/images/vi.png	(from http://justyle.com.vn/)
10:25:58	2/2	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2007%20Jun%202021%2003:25:59%20GMT	http://justyle.com.vn/trang-chu/lang/en?redirect=aHR0cDovL2p1c3R5bGUuY29tLnZuLw==	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/trang-chu/lang/en.2353f3.delayed	(from http://justyle.com.vn/)
10:25:58	117638/117638	---M--	200	added ('OK')	application/javascript	etag:%221cb86-5b9db3fe7495b%22	http://justyle.com.vn/plugins/fancybox-3.0/jquery.fancybox.js	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/plugins/fancybox-3.0/jquery.fancybox.js	(from http://justyle.com.vn/)
10:25:58	2386/2386	---M--	200	added ('OK')	image/png	etag:%22952-5b9dbaecf5434%22	http://justyle.com.vn/application/views/orange/assets/images/en.png	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/application/views/orange/assets/images/en.png	(from http://justyle.com.vn/)
10:25:58	2/2	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2007%20Jun%202021%2003:25:59%20GMT	http://justyle.com.vn/trang-chu/lang/vi?redirect=aHR0cDovL2p1c3R5bGUuY29tLnZuLw==	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/trang-chu/lang/vi53f3	(from http://justyle.com.vn/)
10:25:58	0/-1	---M--	302	error ('')			http://justyle.com.vn/trang-chu/lang/en?redirect=aHR0cDovL2p1c3R5bGUuY29tLnZuLw==	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/trang-chu/lang/en.2653f3.delayed	(from http://justyle.com.vn/)
10:25:58	1440/1440	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Jun%202021%2003:26:00%20GMT	http://justyle.com.vn/images/btn.png	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/images/btn.png	(from http://justyle.com.vn/)
10:26:38	36868/36868	---M--	200	added ('OK')	application/javascript	etag:%229004-5b9dbaedb6224%22	http://justyle.com.vn/application/views/orange/assets/js/bootstrap.min.js	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/application/views/orange/assets/js/bootstrap.min.js	(from http://justyle.com.vn/)
10:26:51	79151/79151	---M--	200	added ('OK')	application/javascript	etag:%221352f-5b9db4014f4c3%22	http://justyle.com.vn/plugins/owl.carousel/owl.carousel.min.js	C:/Users/Admin/Desktop/justyle/Justyle/justyle.com.vn/plugins/owl.carousel/owl.carousel.min.js	(from http://justyle.com.vn/)
